  ,Name,ruby,Type,Rarity,Cost,Text,Image,effectType1,effectValue1,effectType2,effectValue2,effectType3,effectValue3,effectType4,effectValue4,effectType5,effectValue5,effectType6,effectValue6,effectType7,effectValue7,effectType8,effectValue8,effectType9,effectValue9,effectType10,effectValue10
3007,反撃の狼煙[碧],はんげきののろし[へき],D,R,1,２枚ドロー。,3007,Defence,1,Draw,2,,,,,,,,,,,,,,,,
3008,反撃の狼煙[玄],はんげきののろし[くろ],D,R,2,"１枚ドロー。
エネルギーの最大値＋１。",3008,Defence,1,Draw,1,ManaBoost,1,,,,,,,,,,,,,,
3009,禁断の悪夢,フォービドゥン・プレミアム,D,R,3,"相手のエネルギーの最大値ー１。
エネルギーの最大値＋１。",3009,Defence,1,ManaReduceOpponent,1,ManaBoost,1,,,,,,,,,,,,,,
3010,ど派手な義賊・五右衛門,ハデハデシーフ・ごえもん,D,R,8,"自分のターンならエネルギーの最大値をー３。
相手の手札をランダムに４枚捨てさせる。
捨て札から２枚加える。
エネルギーを３回復。",3010,Defence,1,ManaReduceIfMyTurn,3,RandomDiscardOpponent,4,RecoverDiscard,2,ManaRecover,3,,,,,,,,,,
3014,豊穣の一滴,ほうじょうのいってき,D,R,1,エネルギーの最大値を＋１。,3014,Defence,1,ManaBoost,1,,,,,,,,,,,,,,,,
3015,一時の損得感情,いっときのそんとくかんじょう,D,R,1,"相手の手札をランダムに１枚捨てさせる。
手札を２枚捨てる。",3015,Defence,1,RandomDiscardOpponent,1,SelectDiscardSelf,2,,,,,,,,,,,,,,
3017,計画なき開拓,けいかくなきかいたく,D,R,1,"エネルギーの最大値を＋２。
手札を３枚捨てる。",3017,Defence,1,ManaBoost,2,SelectDiscardSelf,3,,,,,,,,,,,,,,
3018,持たざる力,リベンジャー,D,R,1,"手札を全て捨てる。
１枚ドロー。
エネルギーの最大値＋１。
相手の手札をランダムに１枚捨てさせる。
捨て札から１枚加える。
自分のターンならターンを終了する。",3018,Defence,1,SelectDiscardSelf,ALL,Draw,1,ManaBoost,1,RandomDiscardOpponent,1,RecoverDiscard,1,EndTurn,1,,,,,,
3020,落穂ひろい,おちぼひろい,D,R,2,捨て札から１枚加える。,3020,Defence,1,RecoverDiscard,1,,,,,,,,,,,,,,,,
3021,憤怒と色欲と嫉妬の争求,トライアル・ディザイア,D,R,6,"自分のターンならエネルギーの最大値をー２。
２枚ドロー。
相手の手札をランダムに２枚捨てさせる。
捨て札から１枚加える。
エネルギーを２回復。",3021,Defence,1,ManaReduceIfMyTurn,2,Draw,2,RandomDiscardOpponent,2,RecoverDiscard,1,ManaRecover,2,,,,,,,,
3022,緊急脱出ボタン,ポチっとな,D,R,2,"３枚ドローし、手札を２枚捨てる。
エネルギーを２回復。
自分のターンならターンを終了する。",3022,Defence,1,Draw,3,SelectDiscardSelf,2,ManaRecover,2,EndTurn,1,,,,,,,,,,
3023,cmd:crd/sqc,コマンド：シード・スカーク,D,R,9,"自分のターンならエネルギーの最大値をー３。
相手の手札を全て捨てさせる。
自分の手札を全て捨てる。",3023,Defence,1,ManaReduceIfMyTurn,3,RandomDiscardOpponent,ALL,SelectDiscardSelf,ALL,,,,,,,,,,,,
4001,EX_001,ルール_001,E,R,0,"このカードを手札に加えたとき
これと同名のカードが5枚あるなら
自分はゲームに勝利する。",4001,EX_001,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FontSpace,,,,,,,,,,,,,,,,,,,,,,,,,,,
ぁあぃいぅうぇえぉおかがきぎくぐけげこごさざしじすずせぜそぞただちぢっつづてでとどなにぬねのはばぱひびぴふぶぷへべぺほぼぽまみむめもゃやゅゆょよらりるれろわをん,_,,,,,,,,,,,,,,,,,,,,,,,,,,
ァアィイゥウェエォオカガキギクグケゲコゴサザシジスズセゼソゾタダチヂッツヅテデトドナニヌネノハバパヒビピフブプヘベペホボポマミムメモャヤュユョヨラリルレロワヲンヴ,_,,,,,,,,,,,,,,,,,,,,,,,,,,
Type: {data.type},_,,,,,,,,,,,,,,,,,,,,,,,,,,
×１２３４５６７８９０1234567890,_,,,,,,,,,,,,,,,,,,,,,,,,,,
回収できる枚数：{recoverCount},_,,,,,,,,,,,,,,,,,,,,,,,,,,
指定枚数（{recoverCount}枚）より多く選択しています！,_,,,,,,,,,,,,,,,,,,,,,,,,,,
まだ選べますが大丈夫ですか？（{selectedCards.Count}/{recoverCount}）,_,,,,,,,,,,,,,,,,,,,,,,,,,,
これを回収しますか？（{selectedCards.Count}/{recoverCount}）,_,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTACKBLOCKDEFENCEEXattackblockdefenceex,_,,,,,,,,,,,,,,,,,,,,,,,,,,
効果実行中,_,,,,,,,,,,,,,,,,,,,,,,,,,,
効果　処理完了！,_,,,,,,,,,,,,,,,,,,,,,,,,,,
攻撃開始,_,,,,,,,,,,,,,,,,,,,,,,,,,,
相手がBLOCKカードを発動！,_,,,,,,,,,,,,,,,,,,,,,,,,,,
攻撃が通った！ ライフ1枚破壊！,_,,,,,,,,,,,,,,,,,,,,,,,,,,
攻撃処理完了,_,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK 発動可,_,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFENCE 判定中…,_,,,,,,,,,,,,,,,,,,,,,,,,,,
減,_,,,,,,,,,,,,,,,,,,,,,,,,,,
作成参加,_,,,,,,,,,,,,,,,,,,,,,,,,,,
通信成功失敗,_,,,,,,,,,,,,,,,,,,,,,,,,,,
再接続準備中,_,,,,,,,,,,,,,,,,,,,,,,,,,,
IDを確認して再試行してください。,_,,,,,,,,,,,,,,,,,,,,,,,,,,
停止,_,,,,,,,,,,,,,,,,,,,,,,,,,,
切断:,_,,,,,,,,,,,,,,,,,,,,,,,,,,
現在先攻後攻,_,,,,,,,,,,,,,,,,,,,,,,,,,,
者,_,,,,,,,,,,,,,,,,,,,,,,,,,,
手番,_,,,,,,,,,,,,,,,,,,,,,,,,,,
完了取り消し,_,,,,,,,,,,,,,,,,,,,,,,,,,,
